sofifa_id,short_name,long_name,nationality,club,team_position
242374,M. Barrow,Musa Barrow,Gambia,Atalanta,SUB
246646,M. Caqueret,Maxence Caqueret,France,Olympique Lyonnais,SUB
240753,A. Gouiri,Amine Gouiri,France,Olympique Lyonnais,SUB
244938,Montero,Francisco Montero Rubio,Spain,Atlético Madrid,RES
241941,S. Nsoki,Stanley Nsoki,France,Paris Saint-Germain,RES
239613,M. Pessina,Matteo Pessina,Italy,Atalanta,SUB
222355,L. Valzania,Luca Valzania,Italy,Atalanta,RES
232207,I. Šaponjić,Ivan Šaponjić,Serbia,Atlético Madrid,SUB
235735,E. Ampadu,Ethan Ampadu,Wales,RB Leipzig,RES
239981,J. Arp,Jann-Fiete Arp,Germany,FC Bayern München,SUB
248603,L. Mbe Soh,Loïc Mbe Soh,France,Paris Saint-Germain,RES
242238,O. Solet,Oumar Solet,France,Olympique Lyonnais,RES
245037,Eric García,Eric García Martret,Spain,Manchester City,RES
245035,C. Gomes,Claudio Gomes,France,Manchester City,RES
239368,M. Bakker,Mitchel Bakker,Netherlands,Paris Saint-Germain,RES
234760,A. Reca,Arkadiusz Reca,Poland,Atalanta,SUB
245999,Mollejo,Víctor Mollejo Carpintero,Spain,Atlético Madrid,RES
248805,Sergio Camello,Sergio Camello Pérez,Spain,Atlético Madrid,RES
243652,Borja Garcés,Borja Garcés Moreno,Spain,Atlético Madrid,RES
247508,M. Güçlü,Metehan Güçlü,Turkey,Paris Saint-Germain,RES
241128,J. Mejías,Josua Mejías,Venezuela,Atlético Madrid,RES
248385,R. Piccoli,Roberto Piccoli,Italy,Atalanta,SUB
252326,J. Sanabria,Juan Manuel Sanabria,Uruguay,Atlético Madrid,RES
241588,Toni Moya,Antonio Moya Vega,Spain,Atlético Madrid,RES
245842,O. Ndiaye,Ousseynou Ndiaye,Senegal,Olympique Lyonnais,RES
243080,Carlos Isaac,Carlos Isaac Muñoz Obejero,Spain,Atlético Madrid,RES
247257,Ibañez,Roger Ibañez Da Silva,Brazil,Atalanta,SUB
222488,N. Fazzi,Nicolò Fazzi,Italy,Atalanta,RES
252324,Riquelme,Rodrigo Riquelme Reche,Spain,Atlético Madrid,RES
247865,Luan Cândido,Luan Cândido de Almeida,Brazil,RB Leipzig,RES
241859,R. Hoffmann,Ron-Thorben Hoffmann,Germany,FC Bayern München,SUB
229194,A. Georgen,Alec Georgen,France,Paris Saint-Germain,RES
245809,Y. Kitala,Yann Kitala,France,Olympique Lyonnais,RES
248604,A. Zagre,Arthur Zagre,France,Paris Saint-Germain,RES
243847,R. Griffiths,Reo Griffiths,England,Olympique Lyonnais,RES
246863,F. Nmecha,Felix Nmecha,England,Manchester City,RES
246848,B. Fofana,Boubacar Fofana,France,Olympique Lyonnais,RES
247871,M. Kapo,Maxen Kapo,France,Paris Saint-Germain,RES
246402,M. Bidstrup,Mads Bidstrup,Denmark,RB Leipzig,RES
241495,A. Toufiqui,Azzeddine Toufiqui,France,Paris Saint-Germain,RES
243573,A. Racioppi,Anthony Racioppi,Switzerland,Olympique Lyonnais,SUB
235293,P. Asmah,Patrick Kojo Asmah,Ghana,Atalanta,RES
243239,L. Gonzalez,Lorenzo Gonzalez,Switzerland,Manchester City,RES
243308,Álex Dos Santos,Alejandro Dos Santos Ferreira,Brazil,Atlético Madrid,RES
251392,T. Krauß,Tom Krauß,Germany,RB Leipzig,RES
252258,M. Talabidi,Malik Talabidi,Germany,RB Leipzig,RES
234401,I. Hemans,Isaac Hemans,Ghana,Paris Saint-Germain,RES
243710,G. Innocent,Garissone Innocent,France,Paris Saint-Germain,SUB
233047,J. Latibeaudiere,Joel Latibeaudiere,England,Manchester City,RES
238186,M. Bułka,Marcin Bułka,Poland,Paris Saint-Germain,SUB
241632,B. Garré,Benjamín Garré,Argentina,Manchester City,RES
246401,F. Hartmann,Fabrice Hartmann,Germany,RB Leipzig,RES
194894,F. Rossi,Francesco Rossi,Italy,Atalanta,RES
243585,G. Bazunu,Gavin Bazunu,Republic of Ireland,Manchester City,RES
251451,F. Jäkel,Frederik Jäkel,Germany,RB Leipzig,RES
240473,T. Wilson,Tyreke Wilson,Republic of Ireland,Manchester City,RES
252298,M. Winter,Max Winter,Germany,RB Leipzig,RES
224947,D. Grimshaw,Daniel Grimshaw,England,Manchester City,RES
